type,id,name,cp,year_10143,year_09019,year_10148_BISM,year_10148_DA,year_10148_ESD,year_10148_ID,year_10148_NC,year_09119_BISM,year_09119_IDA,year_09119_NC,year_09119_ESDA,year_09119_AIDA,year_09119_MA,year_09119_ORA,year_09119_SA,year_09119_CPA,year_04295_IT,year_04297_ITA,year_04296_ITE,year_04271_ME,year_04222_ID,year_04234_IDE,year_04160_MSI,year_04224_MSIE,year_04273_MEME,year_04423_MAV,year_04406_MT,year_04404_MPP,year_04401_MISE,year_04402_MISA,year_04405_MIS
cbk,90417,Switzerland Language and Culture,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90480,Chinese Language and Culture,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90481,Japanese Language and Culture,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90483,French Language and Culture,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90484,Spanish Language and Culture,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90485,German Language and Culture,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90486,Italian Language and Culture,32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90005,Country major choice,96,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90169,Major Choice (Business),48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90304,Electives,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90418,Bilingual Language and Culture (Switzerland),32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90487,Chinese Language and Culture,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90488,Japanese Language and Culture,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90490,French Language and Culture,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90491,Spanish Language and Culture,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90492,German Language and Culture,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90493,Italian Language and Culture,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90494,Chinese Language and Culture,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90495,Japanese Language and Culture,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90497,French Language and Culture,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90498,Spanish Language and Culture,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90499,German Language and Culture,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90500,Italian Language and Culture,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90571,Electives,24,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90781,Major choice (Information Technology),48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90782,Major/Two sub-majors/Electives,48,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90783,Electives,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90922,Options (Law UG),30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,90923,Options (Legal Theory UG),6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cbk,91202,Choice (Advanced Technology),6,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
